2022-11-22 14:14:47.361874: [ALERT] Image File does not exist. - 
2022-11-22 14:15:00.466607: [ALERT] Image File does not exist. - 
2022-11-22 14:15:36.939098: [ALERT] Image File does not exist. - 
2022-11-22 14:15:39.588969: [ALERT] Image File does not exist. - 
2022-11-22 14:15:40.854207: [ALERT] Image File does not exist. - 
2022-11-22 14:21:44.820281: [ERROR] Unable to add ImageCanvasItem - imagePath is invalid: E:\OneDrive\Software Development\Inspire Canvas - Fall 2022\Inspire Canvas - Applied Software Fall 2022\Resources\Test Images\waterfall.jpeg
2022-11-22 14:21:44.821272: [ERROR] Unable to add ImageCanvasItem - imagePath is invalid: E:\OneDrive\Software Development\Inspire Canvas - Fall 2022\Inspire Canvas - Applied Software Fall 2022\Resources\Test Images\sea.jpg
2022-11-22 14:21:44.822761: Added TextCanvasItem - Successfully added Text.  canvasItem: {'canvasItemID': '90c9afe9-d43f-43ab-bf7c-744b80ab8f54', 'nodeID': 'ab5426af-ab12-2e0e-8220-0147ac468b6c', 'itemPos': [2100.0, 2550.0], 'itemScale': 1.0} text: Text
2022-11-22 14:21:44.837144: Added FileCanvasItem - Successfully added File. canvasItem: {'canvasItemID': 'ab5426af-ab12-2g0e-8120-6147ac468b6c', 'nodeID': 'ab5416af-ab12-3e0e-8220-0147ac468b6c', 'itemPos': [2400, 2050], 'itemScale': 1} filePath: E:\OneDrive\Software Development\Inspire Canvas - Fall 2022\Inspire Canvas - Applied Software Fall 2022\inspireCanvasMain.py
2022-11-22 14:21:52.669212: [ERROR] Unable to add ImageCanvasItem - imagePath is invalid: E:\OneDrive\Software Development\Inspire Canvas - Fall 2022\Inspire Canvas - Applied Software Fall 2022\Resources\Test Images\waterfall.jpeg
2022-11-22 14:21:56.197232: [ERROR] Unable to add ImageCanvasItem - imagePath is invalid: E:\OneDrive\Software Development\Inspire Canvas - Fall 2022\Inspire Canvas - Applied Software Fall 2022\Resources\Test Images\waterfall.jpeg
2022-11-22 14:21:56.198225: [ERROR] Unable to add ImageCanvasItem - imagePath is invalid: E:\OneDrive\Software Development\Inspire Canvas - Fall 2022\Inspire Canvas - Applied Software Fall 2022\Resources\Test Images\sea.jpg
2022-11-22 14:21:56.199217: Added TextCanvasItem - Successfully added Text.  canvasItem: {'canvasItemID': '90c9afe9-d43f-43ab-bf7c-744b80ab8f54', 'nodeID': 'ab5426af-ab12-2e0e-8220-0147ac468b6c', 'itemPos': [2100.0, 2550.0], 'itemScale': 1.0} text: Text
2022-11-22 14:21:56.200208: Added FileCanvasItem - Successfully added File. canvasItem: {'canvasItemID': 'ab5426af-ab12-2g0e-8120-6147ac468b6c', 'nodeID': 'ab5416af-ab12-3e0e-8220-0147ac468b6c', 'itemPos': [2400, 2050], 'itemScale': 1} filePath: E:\OneDrive\Software Development\Inspire Canvas - Fall 2022\Inspire Canvas - Applied Software Fall 2022\inspireCanvasMain.py
2022-11-22 14:23:51.413103: [ERROR] Unable to add ImageCanvasItem - imagePath is invalid: E:\OneDrive\Software Development\Inspire Canvas - Fall 2022\Inspire Canvas - Applied Software Fall 2022\Resources\Test Images\waterfall.jpeg
2022-11-22 14:23:51.413599: [ERROR] Unable to add ImageCanvasItem - imagePath is invalid: E:\OneDrive\Software Development\Inspire Canvas - Fall 2022\Inspire Canvas - Applied Software Fall 2022\Resources\Test Images\sea.jpg
2022-11-22 14:23:51.415088: Added TextCanvasItem - Successfully added Text.  canvasItem: {'canvasItemID': '90c9afe9-d43f-43ab-bf7c-744b80ab8f54', 'nodeID': 'ab5426af-ab12-2e0e-8220-0147ac468b6c', 'itemPos': [2100.0, 2550.0], 'itemScale': 1.0} text: Text
2022-11-22 14:23:51.427983: Added FileCanvasItem - Successfully added File. canvasItem: {'canvasItemID': 'ab5426af-ab12-2g0e-8120-6147ac468b6c', 'nodeID': 'ab5416af-ab12-3e0e-8220-0147ac468b6c', 'itemPos': [2400, 2050], 'itemScale': 1} filePath: E:\OneDrive\Software Development\Inspire Canvas - Fall 2022\Inspire Canvas - Applied Software Fall 2022\inspireCanvasMain.py
